0,hsa-let-7a-2
1,hsa-let-7b
2,hsa-let-7c
3,hsa-let-7d
4,hsa-let-7e
5,hsa-let-7f-1
6,hsa-let-7f-2
7,hsa-let-7g
8,hsa-let-7i
9,hsa-mir-100
10,hsa-mir-103a-2
11,hsa-mir-106a
12,hsa-mir-106b
13,hsa-mir-107
14,hsa-mir-10a
15,hsa-mir-10b
16,hsa-mir-1178
17,hsa-mir-1179
18,hsa-mir-1180
19,hsa-mir-1181
20,hsa-mir-1182
21,hsa-mir-1183
22,hsa-mir-1185-1
23,hsa-mir-1202
24,hsa-mir-1206
25,hsa-mir-1207
26,hsa-mir-122
27,hsa-mir-1224
28,hsa-mir-1225
29,hsa-mir-1226
30,hsa-mir-1227
31,hsa-mir-1228
32,hsa-mir-1229
33,hsa-mir-1231
34,hsa-mir-1234
35,hsa-mir-1236
36,hsa-mir-1237
37,hsa-mir-1238
38,hsa-mir-1245a
39,hsa-mir-1245b
40,hsa-mir-1246
41,hsa-mir-1247
42,hsa-mir-1248
43,hsa-mir-1249
44,hsa-mir-1253
45,hsa-mir-1255a
46,hsa-mir-1256
47,hsa-mir-1258
48,hsa-mir-125a
49,hsa-mir-125b-1
50,hsa-mir-125b-2
51,hsa-mir-126
52,hsa-mir-1260a
53,hsa-mir-1260b
54,hsa-mir-1261
55,hsa-mir-1264
56,hsa-mir-1265
57,hsa-mir-1266
58,hsa-mir-1267
59,hsa-mir-1268a
60,hsa-mir-1268b
61,hsa-mir-1269a
62,hsa-mir-127
63,hsa-mir-1270
64,hsa-mir-1271
65,hsa-mir-1273c
66,hsa-mir-1275
67,hsa-mir-1276
68,hsa-mir-1277
69,hsa-mir-128-1
70,hsa-mir-128-2
71,hsa-mir-1281
72,hsa-mir-1282
73,hsa-mir-1284
74,hsa-mir-1286
75,hsa-mir-1287
76,hsa-mir-1288
77,hsa-mir-129-1
78,hsa-mir-129-2
79,hsa-mir-1290
80,hsa-mir-1291
81,hsa-mir-1292
82,hsa-mir-1293
83,hsa-mir-1294
84,hsa-mir-1295a
85,hsa-mir-1295b
86,hsa-mir-1296
87,hsa-mir-1297
88,hsa-mir-1298
89,hsa-mir-1299
90,hsa-mir-1301
91,hsa-mir-1303
92,hsa-mir-1304
93,hsa-mir-1305
94,hsa-mir-1306
